recipient_iso3,total_killings,mean_killings,total_pred,mean_pred,mean_residual,mean_p_any,colonial_tie,n_years
HRV,3,0.10344827586206896,5.704209463255516,0.19669687804329367,-0.09324860218122472,0.051328256520624116,0,29
NIC,3,0.09375,3.4637262832381404,0.10824144635119189,-0.014491446351191895,0.06446195891370173,1,32
BHR,3,0.0967741935483871,0.8597021764055294,0.02773232827114611,0.06904186527724099,0.015578516709122218,1,31
COG,3,0.09375,5.958988846245681,0.18621840144517754,-0.09246840144517754,0.06647971288259366,1,32
TCD,3,0.09375,11.151324777316606,0.34847889929114395,-0.25472889929114395,0.1557723306335487,1,32
BOL,3,0.09375,5.656447635609045,0.17676398861278267,-0.08301398861278268,0.0938893657460941,1,32
BGR,2,0.1,1.039096838537975,0.051954841926898754,0.04804515807310125,0.029857422525639138,0,20
MLI,2,0.0625,16.4501540033135,0.5140673126035469,-0.4515673126035469,0.19636528174118392,1,32
KGZ,2,0.0625,1.508279837979247,0.04713374493685147,0.015366255063148532,0.04895514348585115,0,32
MDG,2,0.0625,4.315246237225012,0.13485144491328163,-0.07235144491328162,0.09722464211709447,1,32
MDV,2,0.0625,0.8143311391797247,0.025447848099366396,0.0370521519006336,0.015463941176909,1,32
SAU,2,0.0625,2.645816423093511,0.08268176322167221,-0.02018176322167222,0.04985829285548621,0,32
TZA,2,0.0625,13.150557465951065,0.4109549208109708,-0.3484549208109708,0.20662968535366394,1,32
GHA,2,0.0625,8.178253339286421,0.25557041685270065,-0.19307041685270065,0.13631806467857277,1,32
ERI,2,0.10526315789473684,3.934933963396635,0.2071017875471913,-0.10183862965245447,0.07365034505629593,1,19
CAN,2,0.0625,4.124388811644622,0.12888715036389445,-0.06638715036389445,0.0722704875038667,1,32
GMB,2,0.0625,0.8689406551702775,0.027154395474071173,0.03534560452592883,0.02469276472036154,1,32
GRC,2,0.0625,1.845335579381542,0.05766673685567319,0.004833263144326808,0.03256316961683985,0,32
TLS,2,0.0625,1.2057536533920217,0.03767980166850068,0.024820198331499326,0.026005959113778142,1,32
URY,1,0.03333333333333333,1.976325420194104,0.06587751400647014,-0.032544180673136795,0.03812730098823105,1,30
TKM,1,0.03125,1.5215644077398531,0.04754888774187041,-0.016298887741870414,0.04017114769473385,0,32
MLT,1,0.05263157894736842,0.4404975267558471,0.0231840803555709,0.029447498591797523,0.009492646919069904,0,19
PAN,1,0.03125,2.8617196058718135,0.08942873768349417,-0.05817873768349417,0.04641277793782053,1,32
UZB,1,0.03125,4.026850454377976,0.12583907669931174,-0.09458907669931176,0.10678712363792678,0,32
NLD,1,0.03125,3.8309950178263947,0.11971859430707484,-0.08846859430707484,0.05530935946022225,0,32
VNM,1,0.03125,16.625160758227846,0.5195362736946202,-0.4882862736946202,0.24693637260908463,1,32
POL,1,0.03125,3.557372085802047,0.11116787768131396,-0.07991787768131396,0.0627413936081625,0,32
TUN,1,0.03125,8.023538697226545,0.25073558428832954,-0.2194855842883295,0.11503939487278018,1,32
LVA,1,0.034482758620689655,0.9086067650677562,0.03133126776095711,0.0031514908597325476,0.018748836435306657,0,29
LSO,1,0.03125,1.3688182248870302,0.042775569527719694,-0.011525569527719692,0.033281981620191164,1,32
SVK,1,0.047619047619047616,1.5424170844983747,0.07344843259516069,-0.025829384976113083,0.03196552361539501,0,21
ZMB,1,0.03125,5.976888300397911,0.1867777593874347,-0.1555277593874347,0.10518141288509081,1,32
LBR,1,0.03125,1.5960419699393116,0.04987631156060349,-0.018626311560603487,0.051075240455181345,0,32
ZWE,1,0.03125,5.8007691670046935,0.18127403646889667,-0.15002403646889667,0.10031915345743203,1,32
ESP,1,0.03125,5.26566432541649,0.16455201016926532,-0.13330201016926532,0.07773492877397797,0,32
JPN,1,0.03125,10.548583680073854,0.32964324000230794,-0.29839324000230794,0.10028355143310222,0,32
DNK,1,0.03125,2.5492174348209207,0.07966304483815377,-0.04841304483815378,0.03389620046431892,0,32
CRI,1,0.03125,3.6258144842442928,0.11330670263263415,-0.08205670263263415,0.05697009078060153,1,32
GAB,1,0.03125,1.6612969401621838,0.05191552938006824,-0.020665529380068243,0.03005375991838841,1,32
CYP,1,0.043478260869565216,0.673839033606739,0.029297349287249523,0.0141809115823157,0.015030107635020913,1,23
CHL,1,0.03125,5.754865997578045,0.1798395624243139,-0.1485895624243139,0.09187493365798409,1,32
ALB,1,0.03125,1.6126316458443457,0.0503947389326358,-0.019144738932635796,0.03991213691563116,0,32
