Source,Target,Year,Weight,Type,Layer
BGR,ZWE,2000,6.0,Directed,Arms
BHR,CHL,2001,2.0,Directed,Arms
BHS,DNK,2015,0.24,Directed,Arms
BIH,AFG,2011,13.86,Directed,Arms
BIH,AFG,2013,2.8,Directed,Arms
BIH,CMR,2002,8.68,Directed,Arms
BIH,ETH,2022,1.5,Directed,Arms
BIH,ETH,2023,1.5,Directed,Arms
BIH,UKR,2023,5.5,Directed,Arms
BLR,AFG,2019,13.6,Directed,Arms
BLR,AGO,1993,7.56,Directed,Arms
BLR,AGO,1999,176.32,Directed,Arms
BLR,AGO,2000,48.0,Directed,Arms
BLR,AGO,2015,9.68,Directed,Arms
BLR,AGO,2016,3.6,Directed,Arms
BLR,AGO,2017,17.919999999999998,Directed,Arms
BLR,AGO,2018,13.12,Directed,Arms
BLR,AGO,2022,34.8,Directed,Arms
BLR,ARM,2007,1.4,Directed,Arms
BLR,AZE,2005,19.76,Directed,Arms
BLR,AZE,2006,42.64,Directed,Arms
BLR,AZE,2008,1.32,Directed,Arms
BLR,AZE,2009,26.96,Directed,Arms
BLR,AZE,2010,8.8,Directed,Arms
BLR,AZE,2011,50.64,Directed,Arms
BLR,AZE,2012,69.08,Directed,Arms
BLR,AZE,2013,33.0,Directed,Arms
BLR,AZE,2014,33.0,Directed,Arms
BLR,AZE,2017,10.4,Directed,Arms
BLR,AZE,2018,37.2,Directed,Arms
BLR,CAF,2021,34.0,Directed,Arms
BLR,CHN,2013,170.0,Directed,Arms
BLR,CIV,2002,21.32,Directed,Arms
BLR,CIV,2003,15.02,Directed,Arms
BLR,CIV,2004,9.2,Directed,Arms
BLR,CIV,2018,1.99,Directed,Arms
BLR,COD,1997,1.44,Directed,Arms
BLR,DJI,2005,7.2,Directed,Arms
BLR,DZA,1997,28.0,Directed,Arms
BLR,DZA,1999,182.4,Directed,Arms
BLR,DZA,2000,57.0,Directed,Arms
BLR,DZA,2001,22.8,Directed,Arms
BLR,DZA,2002,22.8,Directed,Arms
BLR,ERI,2005,26.46,Directed,Arms
BLR,ERI,2007,3.96,Directed,Arms
BLR,ETH,1998,20.0,Directed,Arms
BLR,ETH,2000,7.2,Directed,Arms
BLR,HUN,1996,104.0,Directed,Arms
