iso3,year,gdp_per_capita,gdp_per_capita_log,population,population_log,v2x_polyarchy,armed_conflict,conflict_intensity
MLT,1994,8000.3453286604,8.987239985812895,374797.0,12.834139825045426,0.779,0,0
MLT,1995,9828.32354719517,9.193023654059216,377419.0,12.841111255111457,0.779,0,0
MLT,1996,10061.850192141,9.21650634246309,379905.0,12.84767650044736,0.786,0,0
MLT,1997,9893.18898998688,9.199601818545878,382791.0,12.855244427312762,0.788,0,0
MLT,1998,10408.1157380149,9.250341140231868,385287.0,12.861743790102143,0.788,0,0
MLT,1999,10609.1104477299,9.269468387162918,387578.0,12.867672397841941,0.788,0,0
MLT,2000,10348.4858902403,9.244595497193934,390087.0,12.87412507015095,0.788,0,0
MLT,2001,10357.7025891731,9.245485733419752,393028.0,12.881636135132803,0.788,0,0
MLT,2002,11251.2025296416,9.328230293443772,395969.0,12.889091204344075,0.788,0,0
MLT,2003,13593.9787155682,9.517382232182849,398582.0,12.89566852768799,0.787,0,0
MLT,2004,15212.1313438497,9.629848503237124,401268.0,12.902384812233276,0.786,0,0
MLT,2005,15831.344048672,9.669747054430136,403834.0,12.908759181415304,0.786,0,0
MLT,2006,16653.6036929688,9.720381910005406,405308.0,12.912402550886933,0.786,0,0
MLT,2007,19444.1741958382,9.875302776973097,406724.0,12.915890101710632,0.784,0,0
MLT,2008,22315.3104212988,10.013028287847135,409379.0,12.922396656316284,0.807,0,0
MLT,2009,21176.3218262672,9.960638941480687,412477.0,12.929935725626605,0.821,0,0
MLT,2010,21946.6069636029,9.996367826308678,414508.0,12.93484755373312,0.821,0,0
MLT,2011,23516.9691234302,10.065477529909174,416268.0,12.939084562585071,0.821,0,0
MLT,2012,22878.3130866521,10.037944714045397,420028.0,12.948076654704094,0.821,0,0
MLT,2013,25415.5566867731,10.143116733507853,424810.0,12.959397289122435,0.791,0,0
MLT,2014,27424.5765646694,10.219194845267424,433481.0,12.979603244945778,0.775,0,0
MLT,2015,25529.6813337717,10.147597028127535,444220.0,13.0040752141925,0.775,0,0
MLT,2016,26459.0770929988,10.183354557733317,454505.0,13.02696419363927,0.775,0,0
MLT,2017,30317.2443175543,10.31947194900167,467106.0,13.054311491622858,0.767,0,0
MLT,2018,33382.2677499267,10.415780132293648,483903.0,13.089639752390214,0.761,0,0
MLT,2019,32421.9179752262,10.386589953787338,503912.0,13.130156928633994,0.771,0,0
MLT,2020,31823.4363934505,10.36795829082665,515490.0,13.1528731836089,0.771,0,0
MLT,2021,38096.8360735119,10.54788651497658,518150.0,13.158020054612363,0.777,0,0
MLT,2022,35638.8869457406,10.481192650618405,531113.0,13.182730083610451,0.777,0,0
MLT,2023,40905.8059585057,10.619027286931928,552747.0,13.222655671296552,0.778,0,0
MLT,2024,43898.5781808597,10.689637210859036,568847.0,13.251366784155943,0.785,0,0
MMR,1992,58.8896739558883,4.0756657604474915,40950342.0,17.52787071987683,0.094,1,2
MMR,1993,76.212889482598,4.333530601702726,41502429.0,17.541262513608586,0.094,1,1
MMR,1994,105.391561114159,4.657682567571302,42055143.0,17.554492243682013,0.094,1,1
MMR,1995,124.14348039051,4.821437996604346,42605338.0,17.567490108553883,0.094,1,1
MMR,1996,141.897267580367,4.9551033280282875,43154860.0,17.580305599510602,0.094,1,1
MMR,1997,108.039770292032,4.682499402783984,43708798.0,17.593059967033334,0.094,1,1
