sender_iso3,recipient_iso3,year,arms_tiv,bilateral_debt,ucdp_troops,ucdp_weapons,ucdp_training,ucdp_funding,bilateral_aid,colonial_tie,journalist_killings,oda_received,us_intervention
BLR,AZE,2013,33.0,,0,0,0,0,,0,0.0,118295750.759542,0
BLR,CHN,2013,170.0,,0,0,0,0,,0,0.0,-124121719.470248,0
BLR,CIV,2002,21.32,,0,0,0,0,,0,0.0,836099980.745465,1
BLR,CIV,2003,15.02,,0,0,0,0,,0,2.0,287760000.796989,0
BLR,CIV,2004,9.2,,0,0,0,0,,0,1.0,219480000.3618,1
BLR,COD,1997,1.44,,0,0,0,0,,0,0.0,115330001.065507,1
BLR,DJI,2005,7.2,,0,0,0,0,,0,0.0,56919999.2455542,1
BLR,DZA,1997,28.0,,0,0,0,0,,0,0.0,226570000.845939,0
BLR,DZA,1999,182.4,,0,0,0,0,,0,0.0,97379998.8217652,0
BLR,DZA,2000,57.0,,0,0,0,0,,0,0.0,118230000.162497,0
BLR,DZA,2001,22.8,,0,0,0,0,,0,2.0,161249994.784594,0
BLR,DZA,2002,22.8,,0,0,0,0,,0,0.0,173380001.394078,0
BLR,ERI,2005,26.46,,0,0,0,0,,0,0.0,255369999.468327,1
BLR,ERI,2007,3.96,,0,0,0,0,,0,2.0,83019999.1613627,1
BLR,ETH,1998,20.0,,0,0,0,0,,0,2.0,480630004.357546,0
BLR,ETH,2000,7.2,,0,0,0,0,,0,0.0,448970000.997186,0
BLR,HUN,1996,104.0,,0,0,0,0,,0,0.0,197829999.592155,0
BLR,IRN,2000,8.32,,0,0,0,0,,0,0.0,113119997.242466,0
BLR,IRN,2001,14.56,,0,0,0,0,,0,0.0,92429998.7517297,0
BLR,IRN,2002,15.6,,0,0,0,0,,0,0.0,84980000.1718104,0
BLR,IRN,2011,15.0,,0,0,0,0,,0,0.0,72579999.0035594,1
BLR,MAR,1999,51.48,,0,0,0,0,,0,0.0,637349999.133497,0
BLR,MAR,2000,120.12,,0,0,0,0,,0,0.0,410390003.966168,0
BLR,NGA,2010,7.2,,0,0,0,0,,0,3.0,906329975.850881,0
BLR,NPL,2003,5.8,,0,0,0,0,,0,2.0,338099994.437769,0
BLR,PAK,1997,12.8,,0,0,0,0,,0,1.0,100610002.173111,0
BLR,PAK,1998,12.8,,0,0,0,0,,0,1.0,556690007.593483,0
BLR,PAK,1999,12.8,,0,0,0,0,,0,1.0,455499995.892867,0
BLR,PER,1997,353.07,,0,0,0,0,,0,1.0,386859995.573759,0
BLR,PER,1998,15.75,,0,0,0,0,,0,2.0,477409997.072071,0
BLR,PER,2002,2.07,,0,0,0,0,,0,0.0,480009997.060523,0
BLR,RWA,1998,6.8,,0,0,0,0,,0,1.0,235690001.010895,0
BLR,RWA,1999,6.8,,0,0,0,0,,0,0.0,219629999.704659,0
BLR,SDN,1996,24.9,,0,0,0,0,,0,0.0,142299998.924136,0
BLR,SDN,1999,24.0,,0,0,0,0,,0,0.0,178179994.54774,0
BLR,SDN,2001,12.0,,0,0,0,0,,0,0.0,128989999.463782,0
BLR,SDN,2002,2.56,,0,0,0,0,,0,0.0,249390002.073721,0
BLR,SDN,2003,13.26,,0,0,0,0,,0,0.0,579270007.610321,0
BLR,SDN,2007,0.36,,0,0,0,0,,0,0.0,1939259997.2263,0
BLR,SDN,2008,50.6,,0,0,0,0,,0,0.0,2100959974.3858,0
BLR,SDN,2009,13.8,,0,0,0,0,,0,0.0,2137460025.27326,0
BLR,SDN,2010,4.6,,0,0,0,0,,0,0.0,1792999994.42138,0
BLR,SDN,2013,66.2,,0,0,0,0,,0,0.0,1192520848.78041,0
BLR,SLE,1995,6.8,,0,0,0,0,,0,0.0,100839999.968186,0
BLR,SLE,1997,6.8,,0,0,0,0,,0,1.0,62599999.5674938,1
BLR,SYR,2003,24.0,,0,0,0,0,,0,0.0,87849998.7665564,0
BLR,SYR,2008,171.6,,0,0,0,0,,0,0.0,108909998.491406,1
BLR,TKM,2011,2.0,,0,0,0,0,,0,0.0,16470000.2707541,0
BLR,UGA,1998,7.2,,0,0,0,0,,0,0.0,439999997.269362,0
BLR,UGA,2000,6.0,,0,0,0,0,,0,0.0,614320005.502552,0
BLR,UGA,2004,10.2,,0,0,0,0,,0,0.0,797970006.845891,0
BLR,UGA,2010,3.4,,0,0,0,0,,0,2.0,1129819984.25908,0
BLR,YEM,2000,46.33,,0,0,0,0,,0,0.0,178789999.401197,1
BLR,YEM,2010,137.41,,0,0,0,0,,0,1.0,326259998.142719,0
BLR,YEM,2011,30.49,,0,0,0,0,,0,3.0,365719999.806956,0
BLR,YEM,2012,27.72,,0,0,0,0,,0,0.0,466025602.437556,0
BRA,AGO,1998,15.2,,0,0,0,0,,0,1.0,279890001.91167,0
