recipient_iso3,year,arms_tiv_total,oda_total,econ_neocol_score_total,colonial_tie_flag,journalist_killings,gdp_per_capita,gdp_per_capita_log,population,population_log,armed_conflict,conflict_intensity,arms_tiv_stock_5yr,econ_neocol_score_mean
MWI,2022,19.0,562.170854,36.090189811135545,1,0,604.269740360317,6.404020688243706,20568728.0,16.839282422089504,0.0,0.0,19.0,1.1641996713269531
MWI,2023,0.0,704.200421,38.99818142497006,1,0,633.214767978695,6.45080965050604,21104482.0,16.864995992950597,0.0,0.0,19.0,1.2580058524183892
MWI,2024,0.0,662.788088,38.59360377675888,1,0,522.570393642547,6.2587596994391435,21655286.0,16.89076013965517,0.0,0.0,19.0,1.244954960540609
MYS,1992,13.0,235.30999999999997,0.0,1,0,3141.43321987651,8.052434414216618,18834572.0,16.751204675197318,0.0,0.0,13.0,
MYS,1993,12.6,110.75,0.0,1,0,3461.99504214189,8.149600303655951,19322664.0,16.7767892654417,0.0,0.0,25.6,
MYS,1994,308.0,65.1,0.0,1,0,3757.65292858601,8.23154982035608,19820446.0,16.802224589135644,0.0,0.0,333.6,
MYS,1995,828.2,121.96,45.29177515196011,1,0,4363.14458333034,8.38094831108711,20330599.0,16.82763764901701,0.0,0.0,1161.8000000000002,2.1567511977123863
MYS,1996,31.77,32.51,36.01936002575575,1,0,4837.16897250768,8.48408490554086,20850087.0,16.85286867886225,0.0,0.0,1193.5700000000002,2.0010755569864305
MYS,1997,552.62,25.180000000000003,44.06293322171001,1,0,4678.56390058182,8.450746482970843,21375218.0,16.8777427715655,0.0,0.0,1733.19,2.2031466610855004
MYS,1998,38.94,202.71999999999997,39.59127994234819,1,0,3294.30978444095,8.099951951379666,21906713.0,16.90230367749647,0.0,0.0,1759.5300000000002,2.0837515759130625
MYS,1999,721.44,144.63,44.57020730860388,1,0,3527.81581379249,8.168434208788932,22435531.0,16.926156465487434,0.0,0.0,2172.9700000000003,2.025918514027449
MYS,2000,26.34,49.85,38.84407554196745,1,0,4083.52874483605,8.314716782037923,22967816.0,16.949604489605004,0.0,0.0,1371.11,1.9422037770983724
MYS,2001,26.34,31.49,35.7111144556799,1,0,3943.79943910239,8.279899862274945,23526538.0,16.973639618556952,0.0,0.0,1365.68,1.5526571502469522
MYS,2002,153.39,90.63,35.21538779437836,1,0,4184.03163773539,8.339030567316406,24102477.0,16.99782517326236,0.0,0.0,966.45,1.4086155117751344
MYS,2003,189.6,107.76,38.59057615799607,1,0,4465.32194567208,8.404096595005068,24679602.0,17.021487630453276,0.0,0.0,1117.1100000000001,1.6079406732498362
MYS,2004,68.65,297.28999999999996,36.21707436140458,1,0,4939.24851854427,8.504968476858108,25256772.0,17.044604875746785,0.0,0.0,464.32,1.7246225886383133
MYS,2005,58.2,28.4,35.11674236871017,1,0,5555.58179951206,8.622558430975078,25836071.0,17.067282174234148,0.0,0.0,496.18,1.5268148855960944
MYS,2006,183.55,235.59,33.554529695468986,1,0,6158.40785533236,8.725573558076272,26417909.0,17.08955270933892,0.0,0.0,653.39,1.3981054039778744
